,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name
0,Albania,ALB,10/01/2021,0.0,0.0,,,0.0,0.0,,,Pfizer/BioNTech,Ministry of Health
1,Albania,ALB,11/01/2021,,,,64.0,,,,22.0,Pfizer/BioNTech,Ministry of Health
2,Albania,ALB,12/01/2021,128.0,128.0,,64.0,0.0,0.0,,22.0,Pfizer/BioNTech,Ministry of Health
3,Albania,ALB,13/01/2021,188.0,188.0,,63.0,0.01,0.01,,22.0,Pfizer/BioNTech,Ministry of Health
4,Albania,ALB,14/01/2021,266.0,266.0,,66.0,0.01,0.01,,23.0,Pfizer/BioNTech,Ministry of Health
5,Albania,ALB,15/01/2021,308.0,308.0,,62.0,0.01,0.01,,22.0,Pfizer/BioNTech,Ministry of Health
6,Albania,ALB,16/01/2021,369.0,369.0,,62.0,0.01,0.01,,22.0,Pfizer/BioNTech,Ministry of Health
7,Albania,ALB,17/01/2021,405.0,405.0,,58.0,0.01,0.01,,20.0,Pfizer/BioNTech,Ministry of Health
8,Albania,ALB,18/01/2021,447.0,447.0,,55.0,0.02,0.02,,19.0,Pfizer/BioNTech,Ministry of Health
9,Albania,ALB,19/01/2021,483.0,483.0,,51.0,0.02,0.02,,18.0,Pfizer/BioNTech,Ministry of Health
10,Albania,ALB,20/01/2021,519.0,519.0,,47.0,0.02,0.02,,16.0,Pfizer/BioNTech,Ministry of Health
11,Albania,ALB,21/01/2021,549.0,549.0,,40.0,0.02,0.02,,14.0,Pfizer/BioNTech,Ministry of Health
12,Albania,ALB,22/01/2021,,,,34.0,,,,12.0,Pfizer/BioNTech,Ministry of Health
13,Albania,ALB,23/01/2021,,,,26.0,,,,9.0,Pfizer/BioNTech,Ministry of Health
14,Albania,ALB,24/01/2021,,,,21.0,,,,7.0,Pfizer/BioNTech,Ministry of Health
15,Albania,ALB,25/01/2021,,,,15.0,,,,5.0,Pfizer/BioNTech,Ministry of Health
16,Albania,ALB,26/01/2021,,,,9.0,,,,3.0,Pfizer/BioNTech,Ministry of Health
17,Albania,ALB,27/01/2021,,,,4.0,,,,1.0,Pfizer/BioNTech,Ministry of Health
18,Albania,ALB,28/01/2021,,,,,,,,,Pfizer/BioNTech,Ministry of Health
19,Albania,ALB,29/01/2021,,,,,,,,,Pfizer/BioNTech,Ministry of Health
20,Albania,ALB,30/01/2021,,,,,,,,,Pfizer/BioNTech,Ministry of Health
21,Albania,ALB,31/01/2021,,,,,,,,,Pfizer/BioNTech,Ministry of Health
22,Albania,ALB,01/02/2021,,,,,,,,,Pfizer/BioNTech,Ministry of Health
23,Albania,ALB,02/02/2021,550.0,549.0,1.0,,0.02,0.02,0.0,,Pfizer/BioNTech,Ministry of Health
24,Albania,ALB,03/02/2021,,,,12.0,,,,4.0,Pfizer/BioNTech,Ministry of Health
25,Albania,ALB,04/02/2021,,,,24.0,,,,8.0,Pfizer/BioNTech,Ministry of Health
26,Albania,ALB,05/02/2021,,,,35.0,,,,12.0,Pfizer/BioNTech,Ministry of Health
27,Albania,ALB,06/02/2021,,,,47.0,,,,16.0,Pfizer/BioNTech,Ministry of Health
28,Albania,ALB,07/02/2021,,,,59.0,,,,21.0,Pfizer/BioNTech,Ministry of Health
29,Albania,ALB,08/02/2021,,,,71.0,,,,25.0,Pfizer/BioNTech,Ministry of Health
30,Albania,ALB,09/02/2021,1127.0,689.0,438.0,82.0,0.04,0.02,0.02,28.0,Pfizer/BioNTech,Ministry of Health
31,Albania,ALB,10/02/2021,,,,81.0,,,,28.0,Pfizer/BioNTech,Ministry of Health
32,Albania,ALB,11/02/2021,,,,79.0,,,,27.0,Pfizer/BioNTech,Ministry of Health
33,Albania,ALB,12/02/2021,,,,78.0,,,,27.0,Pfizer/BioNTech,Ministry of Health
34,Albania,ALB,13/02/2021,,,,76.0,,,,26.0,Pfizer/BioNTech,Ministry of Health
35,Albania,ALB,14/02/2021,,,,75.0,,,,26.0,Pfizer/BioNTech,Ministry of Health
36,Albania,ALB,15/02/2021,,,,73.0,,,,25.0,Pfizer/BioNTech,Ministry of Health
37,Albania,ALB,16/02/2021,,,,72.0,,,,25.0,Pfizer/BioNTech,Ministry of Health
38,Albania,ALB,17/02/2021,1701.0,1090.0,611.0,72.0,0.06,0.04,0.02,25.0,Pfizer/BioNTech,Ministry of Health
39,Albania,ALB,18/02/2021,3049.0,2438.0,611.0,254.0,0.11,0.08,0.02,88.0,Pfizer/BioNTech,Ministry of Health
40,Albania,ALB,19/02/2021,4177.0,,,405.0,0.15,,,141.0,Pfizer/BioNTech,Ministry of Health
41,Albania,ALB,20/02/2021,,,,516.0,,,,179.0,Pfizer/BioNTech,Ministry of Health
42,Albania,ALB,21/02/2021,,,,627.0,,,,218.0,Pfizer/BioNTech,Ministry of Health
43,Albania,ALB,22/02/2021,6728.0,6073.0,655.0,739.0,0.23,0.21,0.02,257.0,Pfizer/BioNTech,Ministry of Health
44,Albania,ALB,23/02/2021,,,,891.0,,,,310.0,Pfizer/BioNTech,Ministry of Health
45,Albania,ALB,24/02/2021,,,,1043.0,,,,362.0,Pfizer/BioNTech,Ministry of Health
46,Albania,ALB,25/02/2021,10135.0,,,1012.0,0.35,,,352.0,Pfizer/BioNTech,Ministry of Health
47,Algeria,DZA,29/01/2021,0.0,,,,0.0,,,,Sputnik V,Ministry of Health
48,Algeria,DZA,30/01/2021,30.0,,,30.0,0.0,,,1.0,Sputnik V,Ministry of Health
49,Algeria,DZA,31/01/2021,,,,1889.0,,,,43.0,Sputnik V,Ministry of Health
50,Algeria,DZA,01/02/2021,,,,2509.0,,,,57.0,Sputnik V,Ministry of Health
51,Algeria,DZA,02/02/2021,,,,2819.0,,,,64.0,Sputnik V,Ministry of Health
52,Algeria,DZA,03/02/2021,,,,3005.0,,,,69.0,Sputnik V,Ministry of Health
53,Algeria,DZA,04/02/2021,,,,3129.0,,,,71.0,Sputnik V,Ministry of Health
54,Algeria,DZA,05/02/2021,,,,3217.0,,,,73.0,Sputnik V,Ministry of Health
55,Algeria,DZA,06/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
56,Algeria,DZA,07/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
57,Algeria,DZA,08/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
58,Algeria,DZA,09/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
59,Algeria,DZA,10/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
60,Algeria,DZA,11/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
61,Algeria,DZA,12/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
62,Algeria,DZA,13/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
63,Algeria,DZA,14/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
64,Algeria,DZA,15/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
65,Algeria,DZA,16/02/2021,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health
